-8 -16 -27 29 -30 39 -43 50 55 -59 60 -62 -65 -68 72 -77 79 92 -94
-10 12 -27 -28 -30 32 -35 -41 -45 46 54 56 -64 79 -81 84 -93 -96 97
-11 -17 -18 -24 -26 -33 -41 -43 48 -64 70 71 79 -81 -86 -88 91 -98 -99
9 -10 -14 -27 29 -31 32 34 -36 39 46 57 -67 71 74 -75 -81 94 -98
-15 -21 22 -23 29 -41 -44 -45 46 48 -51 56 -58 -62 -67 -77 -91 97 99
3 -14 -17 -21 -24 25 -26 32 -37 38 39 -47 57 -65 72 79 83 -91 -92
-15 -16 -17 20 -21 22 -27 -35 -36 38 53 -61 -62 -64 -65 -73 74 82 -84
3 4 -14 -24 -28 -33 -37 40 50 56 -58 63 -65 -68 -78 83 91 97 -98
3 -8 -10 -23 -24 -35 -41 -49 50 60 -61 63 -64 -68 -69 -80 89 97 100
-5 -8 -15 -24 25 -26 34 -43 -47 -51 57 -62 -68 74 -77 79 86 96 100
-2 3 -10 -17 20 -24 -27 -31 -33 -37 -41 57 -65 70 85 -91 -93 -98 100
-24 25 -28 29 -30 -31 42 -45 46 -47 55 -58 -62 -66 -68 -76 86 87 92
-6 -16 -18 22 25 -30 -37 38 39 -41 -52 54 -61 -66 -75 -76 89 -93 100
4 -6 -7 -15 22 -24 -28 40 -43 -44 48 54 56 57 -61 -67 -69 -75 -98
